RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04
102001.0,United States,0,188200.0,185e3,180400.0,176600.0,174600.0,174e3,173100.0,171800.0,169700.0,166700.0,163900.0,162100.0,159500.0,155600.0,151400.0,150800.0,152500.0,155400.0,157100.0,158200.0,159700.0,161300.0,163700.0,163900.0,164700.0,161700.0,159300.0,155900.0,156300.0,157e3,158900.0,158200.0,158700.0,158100.0,158700.0,157700.0,155500.0,152900.0,150300.0,149700.0,15e4,149800.0,149200.0,148700.0,149100.0,150300.0,150600.0,151100.0,151400.0,152700.0,153700.0,155900.0,157800.0,160400.0,160600.0,161e3,161900.0,164600.0,166200.0,167100.0,167900.0,169300.0,171200.0,173200.0,176100.0,178e3,178600.0,178700.0,178700.0,178900.0,178700.0,179300.0,18e4,180500.0,179900.0,180100.0,181200.0,183300.0,184900.0,185800.0,186400.0,187200.0,189400.0,191800.0,194e3,195500.0,197300.0,198500.0,199400.0,198900.0,199100.0,198900.0,199700.0,201700.0,203900.0,205400.0,205700.0,206400.0,207e3,207600.0,207500.0,208700.0,21e4,213200.0,216e3,217700.0,219200.0,219900.0,220400.0,220100.0,218500.0,219100.0,218800.0,22e4,221300.0,223700.0,227800.0,229500.0,232500.0,235700.0,238700.0,
394913.0,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361100.0,36e4,36e4,362800.0,367100.0,365200.0,360700.0,359200.0,355800.0,355600.0,350600.0,347300.0,344100.0,341400.0,341300.0,346500.0,354500.0,360500.0,362500.0,36e4,354700.0,351700.0,352300.0,356800.0,355100.0,352400.0,348900.0,352400.0,352900.0,355500.0,354700.0,359500.0,363300.0,366700.0,367500.0,367e3,366700.0,366400.0,367400.0,367800.0,369600.0,372400.0,372300.0,371800.0,37e4,369600.0,367100.0,367400.0,367500.0,371400.0,373500.0,374300.0,375100.0,372500.0,373600.0,371400.0,369100.0,369800.0,372300.0,377300.0,379800.0,373800.0,375400.0,378500.0,386e3,386800.0,383700.0,384400.0,382700.0,381800.0,381200.0,382100.0,380900.0,372200.0,370600.0,368700.0,375500.0,376200.0,377e3,377900.0,374700.0,377600.0,376300.0,382100.0,387500.0,391600.0,393700.0,,
753899.0,"Los Angeles-Long Beach-Anaheim, CA",2,474400.0,462900.0,447300.0,435900.0,422800.0,407800.0,393500.0,381700.0,369900.0,357400.0,340500.0,329800.0,323e3,32e4,319300.0,325500.0,334600.0,341800.0,350600.0,358e3,365600.0,367600.0,368800.0,366700.0,364800.0,361800.0,366100.0,363800.0,366200.0,361e3,368e3,367300.0,370300.0,365900.0,360600.0,357300.0,353700.0,354e3,352e3,348400.0,349e3,346400.0,346900.0,341200.0,341300.0,338100.0,336400.0,333900.0,334900.0,34e4,344400.0,349700.0,358700.0,365900.0,376600.0,382e3,390900.0,398400.0,399400.0,400900.0,406100.0,422600.0,436700.0,446600.0,451500.0,455300.0,457700.0,459900.0,463200.0,465e3,463800.0,466600.0,470400.0,477e3,482900.0,484100.0,488400.0,489600.0,492900.0,494800.0,494500.0,492900.0,495600.0,502500.0,508900.0,512400.0,512100.0,516400.0,517700.0,521100.0,523600.0,524e3,527500.0,530500.0,535700.0,537700.0,539800.0,543600.0,547500.0,549400.0,549800.0,551900.0,554700.0,561200.0,566e3,57e4,572300.0,573600.0,577200.0,579500.0,586100.0,589500.0,598e3,596800.0,602900.0,603e3,614800.0,616600.0,620800.0,625900.0,631100.0,632e3
394463.0,"Chicago, IL",3,254700.0,251800.0,237800.0,226200.0,223500.0,222400.0,221900.0,221100.0,218600.0,218e3,211100.0,209e3,205100.0,200600.0,192300.0,186e3,187e3,190400.0,190300.0,192300.0,194e3,197500.0,197800.0,198500.0,196400.0,193200.0,186800.0,186e3,183900.0,184900.0,178e3,179e3,181300.0,186700.0,184900.0,180300.0,174800.0,169700.0,163600.0,162500.0,165100.0,169100.0,167e3,164900.0,161100.0,164400.0,159900.0,158900.0,155800.0,156700.0,155300.0,157200.0,159200.0,162800.0,161e3,160600.0,161800.0,163500.0,165e3,163500.0,162600.0,161700.0,164700.0,171600.0,183e3,189300.0,190900.0,191600.0,192500.0,195700.0,193500.0,196800.0,195800.0,196600.0,194e3,196300.0,197100.0,199500.0,200200.0,202e3,202400.0,202600.0,203800.0,204800.0,206200.0,207400.0,209e3,209100.0,210100.0,208200.0,208100.0,208500.0,209700.0,211200.0,209400.0,211200.0,213500.0,217300.0,217500.0,215800.0,215700.0,216900.0,212500.0,211800.0,212800.0,220700.0,225100.0,228500.0,233600.0,233100.0,230300.0,224100.0,221800.0,220200.0,216400.0,217800.0,219500.0,226900.0,228300.0,234500.0,240400.0,
394514.0,"Dallas-Fort Worth, TX",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188100.0,188900.0,189200.0,190400.0,188900.0,189700.0,189800.0,19e4,190500.0,189900.0,189600.0,187100.0,185600.0,185700.0,188400.0,190600.0,192e3,192400.0,194600.0,196500.0,198500.0,200200.0,201300.0,201500.0,202900.0,203800.0,206100.0,204900.0,204800.0,204700.0,206300.0,207300.0,208500.0,209700.0,211300.0,214400.0,216500.0,219300.0,219500.0,222800.0,226400.0,229900.0,230300.0,232400.0,234400.0,237400.0,236300.0,235400.0,232300.0,233500.0,236100.0,241300.0,244500.0,245700.0,246200.0,246700.0,250600.0,252900.0,
394974.0,"Philadelphia, PA",5,210300.0,209700.0,207600.0,199100.0,195600.0,194600.0,196500.0,196700.0,197800.0,197900.0,197700.0,197400.0,200300.0,200900.0,197300.0,190900.0,187300.0,189200.0,190900.0,192800.0,194700.0,199200.0,202200.0,202300.0,202500.0,202400.0,199900.0,193700.0,190500.0,186700.0,187600.0,188200.0,192600.0,196900.0,201400.0,202500.0,198800.0,193300.0,186e3,182500.0,181400.0,182300.0,180500.0,178700.0,178800.0,183400.0,185100.0,188e3,186500.0,186600.0,186200.0,187900.0,187800.0,187400.0,181e3,180800.0,183400.0,194200.0,197400.0,196100.0,192100.0,192e3,191800.0,192800.0,194400.0,197400.0,197400.0,196100.0,194600.0,195300.0,195100.0,193900.0,194e3,192200.0,191900.0,190300.0,190200.0,192e3,193100.0,195200.0,193800.0,193600.0,192700.0,191e3,191e3,193500.0,196300.0,196900.0,195100.0,192700.0,193400.0,193300.0,194400.0,193200.0,195200.0,198700.0,199900.0,198e3,195700.0,197100.0,198500.0,197600.0,195100.0,193100.0,194400.0,201400.0,201900.0,203900.0,198800.0,201400.0,203900.0,205e3,204200.0,199600.0,197200.0,195600.0,198100.0,205800.0,209600.0,208100.0,203e3,
394692.0,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182100.0,182200.0,185700.0,187500.0,189500.0,188e3,188e3,189300.0,189200.0,191900.0,191700.0,193800.0,193700.0,194100.0,193800.0,191200.0,191e3,190400.0,192800.0,193300.0,195100.0,193800.0,194700.0,195800.0,198600.0,200700.0,201900.0,205200.0,208200.0,210900.0,212900.0,213700.0,216400.0,216800.0,216e3,216e3,215900.0,218e3,218600.0,222600.0,227600.0,227400.0,223300.0,217400.0,218500.0,222700.0,
395209.0,"Washington, DC",7,356600.0,346600.0,329800.0,316700.0,311500.0,310100.0,301800.0,293100.0,286600.0,281400.0,283800.0,281e3,284e3,276900.0,273400.0,273400.0,283800.0,297200.0,304e3,301700.0,300500.0,300900.0,302900.0,300900.0,300900.0,303500.0,299300.0,292200.0,291400.0,287300.0,296400.0,293600.0,307600.0,307800.0,308600.0,306600.0,297100.0,290500.0,282100.0,282100.0,290700.0,298400.0,306900.0,298100.0,294700.0,287e3,290700.0,285300.0,296500.0,299800.0,310500.0,313800.0,322700.0,325500.0,322100.0,318800.0,319300.0,319600.0,321900.0,318400.0,325800.0,329100.0,338400.0,342500.0,347e3,348900.0,345300.0,342900.0,343700.0,344e3,345800.0,343e3,345200.0,344700.0,352900.0,352300.0,355600.0,349100.0,348500.0,346400.0,349400.0,353300.0,354400.0,357200.0,363900.0,365500.0,362500.0,353800.0,351200.0,35e4,353800.0,356e3,357400.0,351e3,352700.0,355500.0,357900.0,358800.0,355800.0,357600.0,356500.0,360900.0,363100.0,367900.0,365300.0,368700.0,371e3,372100.0,371800.0,369600.0,37e4,368100.0,367300.0,367500.0,369200.0,369200.0,373500.0,377600.0,381300.0,382300.0,387e3,
394856.0,"Miami-Fort Lauderdale, FL",8,259100.0,249900.0,237700.0,228100.0,224400.0,223600.0,217e3,208700.0,194200.0,186900.0,174700.0,168200.0,159700.0,153400.0,144100.0,138100.0,137800.0,141800.0,144400.0,144200.0,143800.0,145500.0,146800.0,149e3,149400.0,147800.0,145900.0,141900.0,137800.0,134e3,129900.0,131400.0,130700.0,13e4,123e3,120500.0,117700.0,120900.0,122400.0,125e3,128900.0,128e3,126500.0,124400.0,123400.0,127700.0,130400.0,135500.0,136400.0,138600.0,139200.0,141200.0,141500.0,143700.0,145700.0,148200.0,148100.0,153400.0,157600.0,163800.0,161400.0,163e3,165e3,169400.0,171400.0,174500.0,177e3,178400.0,178800.0,179400.0,181400.0,180300.0,181500.0,181100.0,183700.0,185700.0,19e4,190700.0,191300.0,190500.0,192800.0,196100.0,196500.0,199e3,200200.0,204700.0,208100.0,211e3,211700.0,211900.0,211800.0,213e3,208100.0,209200.0,211500.0,222500.0,225600.0,226800.0,224100.0,223500.0,225e3,228e3,231900.0,236900.0,236100.0,238e3,237300.0,244100.0,245800.0,249200.0,244700.0,245300.0,243100.0,248200.0,249500.0,252500.0,250300.0,252300.0,257300.0,267100.0,274200.0,
394347.0,"Atlanta, GA",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93400.0,94400.0,95500.0,97700.0,97e3,97300.0,98e3,99e3,99900.0,100900.0,103400.0,106300.0,108700.0,111300.0,115300.0,119500.0,123400.0,125400.0,129500.0,132e3,136e3,137800.0,142400.0,144100.0,145400.0,144700.0,144200.0,144400.0,144e3,144500.0,144300.0,145600.0,148200.0,150800.0,154100.0,154800.0,156500.0,156100.0,159300.0,161700.0,165200.0,165500.0,172100.0,174500.0,176e3,170900.0,169200.0,170500.0,171600.0,173700.0,175100.0,177700.0,179e3,179700.0,178500.0,177600.0,175500.0,176e3,175700.0,177100.0,177700.0,180900.0,182e3,184200.0,186300.0,191300.0,195300.0,197300.0,195700.0,192e3,189e3,19e4,193300.0,195800.0,197800.0,202100.0,208200.0,211e3,
